PlayerCard1,PlayerCard2,DealerHand,PlayerChoices,Win,Lost,Push,Total
10,10,10,double,681,8779,78,9538
10,10,10,hit,338,4308,33,4679
10,10,10,stay,7727,1660,4761,14148
10,10,2,double,179,2191,29,2399
10,10,2,hit,84,1096,9,1189
10,10,2,stay,2660,453,493,3606
10,10,3,double,197,2232,27,2456
10,10,3,hit,80,1090,7,1177
10,10,3,stay,2733,443,466,3642
10,10,4,double,157,2286,29,2472
10,10,4,hit,77,1173,12,1262
10,10,4,stay,2773,432,500,3705
10,10,5,double,163,2294,25,2482
10,10,5,hit,82,1148,11,1241
10,10,5,stay,2807,391,454,3652
10,10,6,double,180,2247,24,2451
10,10,6,hit,65,1145,8,1218
10,10,6,stay,2810,391,386,3587
10,10,7,double,151,2282,13,2446
10,10,7,hit,69,1159,6,1234
10,10,7,stay,3148,283,266,3697
10,10,8,double,177,2185,15,2377
10,10,8,hit,99,1154,4,1257
10,10,8,stay,3094,256,265,3615
10,10,9,double,167,2203,10,2380
10,10,9,hit,77,1095,8,1180
10,10,9,stay,3031,213,437,3681
10,10,A,double,99,2277,68,2444
10,10,A,hit,49,1142,40,1231
10,10,A,stay,1744,1290,447,3481
10,2,10,double,503,1785,120,2408
10,2,10,hit,246,920,50,1216
10,2,10,stay,761,3026,0,3787
10,2,2,double,150,398,30,578
10,2,2,hit,64,218,14,296
10,2,2,stay,293,543,0,836
10,2,3,double,158,447,31,636
10,2,3,hit,74,227,4,305
10,2,3,stay,306,656,0,962
10,2,4,double,170,461,16,647
10,2,4,hit,85,216,14,315
10,2,4,stay,339,572,0,911
10,2,5,double,180,403,24,607
10,2,5,hit,80,213,9,302
10,2,5,stay,380,553,0,933
10,2,6,double,194,444,18,656
10,2,6,hit,93,220,9,322
10,2,6,stay,365,543,0,908
10,2,7,double,156,402,30,588
10,2,7,hit,86,213,17,316
10,2,7,stay,226,719,0,945
10,2,8,double,175,463,26,664
10,2,8,hit,72,215,12,299
10,2,8,stay,212,742,0,954
10,2,9,double,141,432,20,593
10,2,9,hit,75,241,14,330
10,2,9,stay,203,723,0,926
10,2,A,double,73,504,47,624
10,2,A,hit,34,268,21,323
10,2,A,stay,54,838,0,892
10,3,10,double,448,1854,110,2412
10,3,10,hit,264,906,58,1228
10,3,10,stay,709,2909,0,3618
10,3,2,double,139,444,33,616
10,3,2,hit,68,213,13,294
10,3,2,stay,284,592,0,876
10,3,3,double,123,376,18,517
10,3,3,hit,56,194,13,263
10,3,3,stay,289,576,0,865
10,3,4,double,163,470,26,659
10,3,4,hit,81,262,10,353
10,3,4,stay,336,560,0,896
10,3,5,double,158,450,28,636
10,3,5,hit,79,209,8,296
10,3,5,stay,359,548,0,907
10,3,6,double,149,420,27,596
10,3,6,hit,80,235,9,324
10,3,6,stay,394,581,0,975
10,3,7,double,154,455,32,641
10,3,7,hit,78,241,12,331
10,3,7,stay,212,685,0,897
10,3,8,double,140,441,25,606
10,3,8,hit,68,223,11,302
10,3,8,stay,192,696,0,888
10,3,9,double,109,475,23,607
10,3,9,hit,69,256,14,339
10,3,9,stay,206,749,0,955
10,3,A,double,78,475,43,596
10,3,A,hit,33,262,12,307
10,3,A,stay,45,891,0,936
10,4,10,double,400,1832,108,2340
10,4,10,hit,210,978,52,1240
10,4,10,stay,743,2924,0,3667
10,4,2,double,114,425,17,556
10,4,2,hit,68,252,15,335
10,4,2,stay,308,655,0,963
10,4,3,double,153,458,23,634
10,4,3,hit,67,216,10,293
10,4,3,stay,304,565,0,869
10,4,4,double,126,442,18,586
10,4,4,hit,82,205,7,294
10,4,4,stay,330,495,0,825
10,4,5,double,153,441,22,616
10,4,5,hit,58,208,6,272
10,4,5,stay,370,565,0,935
10,4,6,double,155,419,17,591
10,4,6,hit,71,231,8,310
10,4,6,stay,369,562,0,931
10,4,7,double,115,483,32,630
10,4,7,hit,60,230,12,302
10,4,7,stay,256,683,0,939
10,4,8,double,127,472,28,627
10,4,8,hit,64,212,11,287
10,4,8,stay,211,675,0,886
10,4,9,double,128,471,24,623
10,4,9,hit,62,245,6,313
10,4,9,stay,222,742,0,964
10,4,A,double,73,533,31,637
10,4,A,hit,36,252,18,306
10,4,A,stay,38,888,0,926
10,5,10,double,411,1926,105,2442
10,5,10,hit,198,976,51,1225
10,5,10,stay,741,2840,0,3581
10,5,2,double,107,478,27,612
10,5,2,hit,54,232,10,296
10,5,2,stay,299,606,0,905
10,5,3,double,121,490,23,634
10,5,3,hit,52,230,9,291
10,5,3,stay,309,589,0,898
10,5,4,double,142,477,24,643
10,5,4,hit,62,204,6,272
10,5,4,stay,349,635,0,984
10,5,5,double,109,462,20,591
10,5,5,hit,52,221,10,283
10,5,5,stay,355,527,0,882
10,5,6,double,118,462,19,599
10,5,6,hit,60,238,10,308
10,5,6,stay,427,558,0,985
10,5,7,double,134,480,24,638
10,5,7,hit,73,248,10,331
10,5,7,stay,225,662,0,887
10,5,8,double,114,430,19,563
10,5,8,hit,62,241,14,317
10,5,8,stay,240,738,0,978
10,5,9,double,111,504,28,643
10,5,9,hit,54,240,11,305
10,5,9,stay,196,744,0,940
10,5,A,double,69,506,32,607
10,5,A,hit,33,251,24,308
10,5,A,stay,41,887,0,928
10,6,10,double,378,1998,102,2478
10,6,10,hit,172,929,41,1142
10,6,10,stay,732,2966,0,3698
10,6,2,double,107,451,23,581
10,6,2,hit,55,218,14,287
10,6,2,stay,289,624,0,913
10,6,3,double,106,482,24,612
10,6,3,hit,49,237,12,298
10,6,3,stay,322,625,0,947
10,6,4,double,104,492,17,613
10,6,4,hit,45,220,15,280
10,6,4,stay,341,618,0,959
10,6,5,double,116,470,18,604
10,6,5,hit,59,239,7,305
10,6,5,stay,359,551,0,910
10,6,6,double,108,456,18,582
10,6,6,hit,61,206,8,275
10,6,6,stay,331,523,0,854
10,6,7,double,128,493,24,645
10,6,7,hit,67,248,14,329
10,6,7,stay,223,721,0,944
10,6,8,double,109,487,25,621
10,6,8,hit,60,243,11,314
10,6,8,stay,191,709,0,900
10,6,9,double,87,479,27,593
10,6,9,hit,66,239,11,316
10,6,9,stay,203,779,0,982
10,6,A,double,64,516,33,613
10,6,A,hit,26,278,14,318
10,6,A,stay,47,849,0,896
10,7,10,double,307,1917,81,2305
10,7,10,hit,166,933,57,1156
10,7,10,stay,704,2364,373,3441
10,7,2,double,101,452,16,569
10,7,2,hit,44,256,11,311
10,7,2,stay,266,500,137,903
10,7,3,double,95,460,14,569
10,7,3,hit,45,245,13,303
10,7,3,stay,321,465,137,923
10,7,4,double,93,504,14,611
10,7,4,hit,53,253,6,312
10,7,4,stay,354,454,132,940
10,7,5,double,106,475,15,596
10,7,5,hit,46,233,7,286
10,7,5,stay,365,457,113,935
10,7,6,double,112,507,5,624
10,7,6,hit,46,255,10,311
10,7,6,stay,381,369,155,905
10,7,7,double,120,475,11,606
10,7,7,hit,48,223,3,274
10,7,7,stay,227,323,326,876
10,7,8,double,103,477,29,609
10,7,8,hit,53,248,13,314
10,7,8,stay,239,581,113,933
10,7,9,double,99,538,22,659
10,7,9,hit,47,237,13,297
10,7,9,stay,206,627,110,943
10,7,A,double,67,498,39,604
10,7,A,hit,35,265,18,318
10,7,A,stay,44,765,140,949
10,8,10,double,292,2093,61,2446
10,8,10,hit,155,985,37,1177
10,8,10,stay,1212,1990,379,3581
10,8,2,double,84,520,12,616
10,8,2,hit,36,247,6,289
10,8,2,stay,402,366,119,887
10,8,3,double,77,506,17,600
10,8,3,hit,52,256,5,313
10,8,3,stay,466,357,106,929
10,8,4,double,99,579,16,694
10,8,4,hit,55,269,5,329
10,8,4,stay,466,353,119,938
10,8,5,double,90,523,12,625
10,8,5,hit,54,262,8,324
10,8,5,stay,486,323,108,917
10,8,6,double,121,498,12,631
10,8,6,hit,42,252,3,297
10,8,6,stay,524,282,97,903
10,8,7,double,92,556,8,656
10,8,7,hit,60,267,5,332
10,8,7,stay,578,198,136,912
10,8,8,double,83,493,19,595
10,8,8,hit,61,248,1,310
10,8,8,stay,312,252,305,869
10,8,9,double,76,530,10,616
10,8,9,hit,39,254,12,305
10,8,9,stay,313,520,118,951
10,8,A,double,43,498,25,566
10,8,A,hit,30,292,14,336
10,8,A,stay,184,603,121,908
10,9,10,double,259,2060,65,2384
10,9,10,hit,118,1033,38,1189
10,9,10,stay,1565,1646,424,3635
10,9,2,double,74,538,10,622
10,9,2,hit,41,276,8,325
10,9,2,stay,553,231,138,922
10,9,3,double,75,574,5,654
10,9,3,hit,44,271,4,319
10,9,3,stay,556,243,111,910
10,9,4,double,57,589,13,659
10,9,4,hit,42,254,2,298
10,9,4,stay,592,217,127,936
10,9,5,double,65,546,8,619
10,9,5,hit,36,272,6,314
10,9,5,stay,571,205,127,903
10,9,6,double,96,526,6,628
10,9,6,hit,33,288,8,329
10,9,6,stay,592,215,100,907
10,9,7,double,76,530,12,618
10,9,7,hit,35,268,2,305
10,9,7,stay,712,143,63,918
10,9,8,double,60,535,6,601
10,9,8,hit,36,256,3,295
10,9,8,stay,626,143,130,899
10,9,9,double,80,506,8,594
10,9,9,hit,35,229,2,266
10,9,9,stay,416,161,337,914
10,9,A,double,42,562,16,620
10,9,A,hit,23,243,6,272
10,9,A,stay,300,480,137,917
10,A,10,blackjack,6536,0,798,7334
10,A,2,blackjack,1552,0,212,1764
10,A,3,blackjack,1669,0,216,1885
10,A,4,blackjack,1745,0,208,1953
10,A,5,blackjack,1706,0,215,1921
10,A,6,blackjack,1704,0,177,1881
10,A,7,blackjack,1842,0,149,1991
10,A,8,blackjack,1709,0,124,1833
10,A,9,blackjack,1761,0,106,1867
10,A,A,blackjack,1071,0,671,1742
2,10,10,double,477,1834,118,2429
2,10,10,hit,244,938,67,1249
2,10,10,stay,770,2899,0,3669
2,10,2,double,133,433,15,581
2,10,2,hit,81,179,7,267
2,10,2,stay,285,569,0,854
2,10,3,double,161,467,15,643
2,10,3,hit,86,205,11,302
2,10,3,stay,307,625,0,932
2,10,4,double,175,453,22,650
2,10,4,hit,77,200,9,286
2,10,4,stay,335,612,0,947
2,10,5,double,170,456,26,652
2,10,5,hit,78,215,7,300
2,10,5,stay,351,548,0,899
2,10,6,double,180,425,30,635
2,10,6,hit,82,246,14,342
2,10,6,stay,363,522,0,885
2,10,7,double,178,456,19,653
2,10,7,hit,83,204,14,301
2,10,7,stay,217,735,0,952
2,10,8,double,159,431,28,618
2,10,8,hit,80,197,12,289
2,10,8,stay,207,723,0,930
2,10,9,double,130,442,21,593
2,10,9,hit,72,216,19,307
2,10,9,stay,206,716,0,922
2,10,A,double,91,496,48,635
2,10,A,hit,37,242,12,291
2,10,A,stay,48,853,0,901
2,2,10,double,97,445,17,559
2,2,10,hit,66,213,8,287
2,2,10,stay,170,697,0,867
2,2,2,double,42,83,3,128
2,2,2,hit,22,56,2,80
2,2,2,stay,45,125,0,170
2,2,3,double,50,87,2,139
2,2,3,hit,24,51,1,76
2,2,3,stay,82,124,0,206
2,2,4,double,38,79,2,119
2,2,4,hit,25,51,1,77
2,2,4,stay,57,113,0,170
2,2,5,double,53,103,3,159
2,2,5,hit,30,42,5,77
2,2,5,stay,95,138,0,233
2,2,6,double,76,83,5,164
2,2,6,hit,20,36,1,57
2,2,6,stay,66,118,0,184
2,2,7,double,36,97,3,136
2,2,7,hit,20,56,0,76
2,2,7,stay,61,134,0,195
2,2,8,double,36,87,4,127
2,2,8,hit,24,51,2,77
2,2,8,stay,52,161,0,213
2,2,9,double,31,105,5,141
2,2,9,hit,16,62,3,81
2,2,9,stay,53,161,0,214
2,2,A,double,11,114,6,131
2,2,A,hit,7,52,3,62
2,2,A,stay,8,202,0,210
2,3,10,double,145,489,21,655
2,3,10,hit,71,200,12,283
2,3,10,stay,195,741,0,936
2,3,2,double,48,114,2,164
2,3,2,hit,21,55,0,76
2,3,2,stay,73,153,0,226
2,3,3,double,47,96,0,143
2,3,3,hit,14,50,2,66
2,3,3,stay,81,143,0,224
2,3,4,double,53,125,4,182
2,3,4,hit,32,58,1,91
2,3,4,stay,87,157,0,244
2,3,5,double,48,86,3,137
2,3,5,hit,20,42,0,62
2,3,5,stay,93,150,0,243
2,3,6,double,60,90,3,153
2,3,6,hit,28,41,1,70
2,3,6,stay,118,156,0,274
2,3,7,double,39,91,3,133
2,3,7,hit,16,47,3,66
2,3,7,stay,55,166,0,221
2,3,8,double,35,111,3,149
2,3,8,hit,25,50,1,76
2,3,8,stay,49,180,0,229
2,3,9,double,36,109,2,147
2,3,9,hit,23,49,5,77
2,3,9,stay,45,154,0,199
2,3,A,double,18,116,7,141
2,3,A,hit,10,56,0,66
2,3,A,stay,16,190,0,206
2,4,10,double,130,466,27,623
2,4,10,hit,74,216,6,296
2,4,10,stay,192,735,0,927
2,4,2,double,34,108,6,148
2,4,2,hit,19,38,1,58
2,4,2,stay,61,156,0,217
2,4,3,double,53,95,5,153
2,4,3,hit,23,65,1,89
2,4,3,stay,67,153,0,220
2,4,4,double,43,112,1,156
2,4,4,hit,18,56,7,81
2,4,4,stay,95,153,0,248
2,4,5,double,48,90,3,141
2,4,5,hit,29,48,1,78
2,4,5,stay,102,139,0,241
2,4,6,double,63,87,2,152
2,4,6,hit,27,49,0,76
2,4,6,stay,101,158,0,259
2,4,7,double,48,97,5,150
2,4,7,hit,23,44,2,69
2,4,7,stay,64,177,0,241
2,4,8,double,41,119,2,162
2,4,8,hit,13,56,2,71
2,4,8,stay,52,177,0,229
2,4,9,double,27,96,8,131
2,4,9,hit,19,68,2,89
2,4,9,stay,55,175,0,230
2,4,A,double,14,131,2,147
2,4,A,hit,8,72,2,82
2,4,A,stay,19,222,0,241
2,5,10,double,112,457,32,601
2,5,10,hit,72,216,13,301
2,5,10,stay,194,709,0,903
2,5,2,double,41,90,6,137
2,5,2,hit,17,48,7,72
2,5,2,stay,66,130,0,196
2,5,3,double,46,82,6,134
2,5,3,hit,23,58,4,85
2,5,3,stay,85,155,0,240
2,5,4,double,45,111,4,160
2,5,4,hit,24,50,6,80
2,5,4,stay,84,139,0,223
2,5,5,double,53,80,2,135
2,5,5,hit,26,42,2,70
2,5,5,stay,73,113,0,186
2,5,6,double,55,96,10,161
2,5,6,hit,20,54,4,78
2,5,6,stay,82,138,0,220
2,5,7,double,49,90,11,150
2,5,7,hit,21,46,9,76
2,5,7,stay,58,157,0,215
2,5,8,double,38,103,7,148
2,5,8,hit,22,49,1,72
2,5,8,stay,50,177,0,227
2,5,9,double,36,105,10,151
2,5,9,hit,16,43,1,60
2,5,9,stay,45,194,0,239
2,5,A,double,15,127,11,153
2,5,A,hit,9,54,5,68
2,5,A,stay,16,219,0,235
2,6,10,double,148,438,25,611
2,6,10,hit,69,207,15,291
2,6,10,stay,200,750,0,950
2,6,2,double,51,75,9,135
2,6,2,hit,17,44,3,64
2,6,2,stay,46,151,0,197
2,6,3,double,58,98,9,165
2,6,3,hit,19,46,3,68
2,6,3,stay,77,149,0,226
