PlayerCard1,PlayerCard2,DealerHand,PlayerChoices,Win,Lost,Push,Total,WinPercentage,GroupID
10,10,10,stay,7727,1660,4761,14148,54.62,0
10,10,2,stay,2660,453,493,3606,73.77,1
10,10,3,stay,2733,443,466,3642,75.04,2
10,10,4,stay,2773,432,500,3705,74.84,3
10,10,5,stay,2807,391,454,3652,76.86,4
10,10,6,stay,2810,391,386,3587,78.34,5
10,10,7,stay,3148,283,266,3697,85.15,6
10,10,8,stay,3094,256,265,3615,85.59,7
10,10,9,stay,3031,213,437,3681,82.34,8
10,10,A,stay,1744,1290,447,3481,50.1,9
10,2,10,double,503,1785,120,2408,20.89,10
10,2,2,stay,293,543,0,836,35.05,11
10,2,3,stay,306,656,0,962,31.81,12
10,2,4,stay,339,572,0,911,37.21,13
10,2,5,stay,380,553,0,933,40.73,14
10,2,6,stay,365,543,0,908,40.2,15
10,2,7,hit,86,213,17,316,27.22,16
10,2,8,double,175,463,26,664,26.36,17
10,2,9,double,141,432,20,593,23.78,18
10,2,A,double,73,504,47,624,11.7,19
10,3,10,hit,264,906,58,1228,21.5,20
10,3,2,stay,284,592,0,876,32.42,21
10,3,3,stay,289,576,0,865,33.41,22
10,3,4,stay,336,560,0,896,37.5,23
10,3,5,stay,359,548,0,907,39.58,24
10,3,6,stay,394,581,0,975,40.41,25
10,3,7,double,154,455,32,641,24.02,26
10,3,8,double,140,441,25,606,23.1,27
10,3,9,stay,206,749,0,955,21.57,28
10,3,A,double,78,475,43,596,13.09,29
10,4,10,stay,743,2924,0,3667,20.26,30
10,4,2,stay,308,655,0,963,31.98,31
10,4,3,stay,304,565,0,869,34.98,32
10,4,4,stay,330,495,0,825,40.0,33
10,4,5,stay,370,565,0,935,39.57,34
10,4,6,stay,369,562,0,931,39.63,35
10,4,7,stay,256,683,0,939,27.26,36
10,4,8,stay,211,675,0,886,23.81,37
10,4,9,stay,222,742,0,964,23.03,38
10,4,A,hit,36,252,18,306,11.76,39
10,5,10,stay,741,2840,0,3581,20.69,40
10,5,2,stay,299,606,0,905,33.04,41
10,5,3,stay,309,589,0,898,34.41,42
10,5,4,stay,349,635,0,984,35.47,43
10,5,5,stay,355,527,0,882,40.25,44
10,5,6,stay,427,558,0,985,43.35,45
10,5,7,stay,225,662,0,887,25.37,46
10,5,8,stay,240,738,0,978,24.54,47
10,5,9,stay,196,744,0,940,20.85,48
10,5,A,double,69,506,32,607,11.37,49
10,6,10,stay,732,2966,0,3698,19.79,50
10,6,2,stay,289,624,0,913,31.65,51
10,6,3,stay,322,625,0,947,34.0,52
10,6,4,stay,341,618,0,959,35.56,53
10,6,5,stay,359,551,0,910,39.45,54
10,6,6,stay,331,523,0,854,38.76,55
10,6,7,stay,223,721,0,944,23.62,56
10,6,8,stay,191,709,0,900,21.22,57
10,6,9,hit,66,239,11,316,20.89,58
10,6,A,double,64,516,33,613,10.44,59
10,7,10,stay,704,2364,373,3441,20.46,60
10,7,2,stay,266,500,137,903,29.46,61
10,7,3,stay,321,465,137,923,34.78,62
10,7,4,stay,354,454,132,940,37.66,63
10,7,5,stay,365,457,113,935,39.04,64
10,7,6,stay,381,369,155,905,42.1,65
10,7,7,stay,227,323,326,876,25.91,66
10,7,8,stay,239,581,113,933,25.62,67
10,7,9,stay,206,627,110,943,21.85,68
10,7,A,double,67,498,39,604,11.09,69
10,8,10,stay,1212,1990,379,3581,33.85,70
10,8,2,stay,402,366,119,887,45.32,71
10,8,3,stay,466,357,106,929,50.16,72
10,8,4,stay,466,353,119,938,49.68,73
10,8,5,stay,486,323,108,917,53.0,74
10,8,6,stay,524,282,97,903,58.03,75
10,8,7,stay,578,198,136,912,63.38,76
10,8,8,stay,312,252,305,869,35.9,77
10,8,9,stay,313,520,118,951,32.91,78
10,8,A,stay,184,603,121,908,20.26,79
10,9,10,stay,1565,1646,424,3635,43.05,80
10,9,2,stay,553,231,138,922,59.98,81
10,9,3,stay,556,243,111,910,61.1,82
10,9,4,stay,592,217,127,936,63.25,83
10,9,5,stay,571,205,127,903,63.23,84
10,9,6,stay,592,215,100,907,65.27,85
10,9,7,stay,712,143,63,918,77.56,86
10,9,8,stay,626,143,130,899,69.63,87
10,9,9,stay,416,161,337,914,45.51,88
10,9,A,stay,300,480,137,917,32.72,89
10,A,10,blackjack,6536,0,798,7334,89.12,90
10,A,6,blackjack,1704,0,177,1881,90.59,91
10,A,9,blackjack,1761,0,106,1867,94.32,92
10,A,A,blackjack,1071,0,671,1742,61.48,93
2,10,2,hit,81,179,7,267,30.34,94
2,10,2,stay,285,569,0,854,33.37,95
2,10,3,stay,307,625,0,932,32.94,96
2,10,4,stay,335,612,0,947,35.37,97
2,10,5,stay,351,548,0,899,39.04,98
2,10,6,stay,363,522,0,885,41.02,99
2,10,8,hit,80,197,12,289,27.68,100
2,10,9,hit,72,216,19,307,23.45,101
2,10,9,stay,206,716,0,922,22.34,102
2,2,10,hit,66,213,8,287,23.0,103
2,2,2,double,42,83,3,128,32.81,104
2,2,3,double,50,87,2,139,35.97,105
2,2,3,stay,82,124,0,206,39.81,106
2,2,5,hit,30,42,5,77,38.96,107
2,2,6,double,76,83,5,164,46.34,108
2,2,6,stay,66,118,0,184,35.87,109
2,2,7,stay,61,134,0,195,31.28,110
2,2,8,stay,52,161,0,213,24.41,111
2,2,9,stay,53,161,0,214,24.77,112
2,3,10,hit,71,200,12,283,25.09,113
2,3,2,double,48,114,2,164,29.27,114
2,3,3,double,47,96,0,143,32.87,115
2,3,3,stay,81,143,0,224,36.16,116
2,3,4,stay,87,157,0,244,35.66,117
2,3,6,hit,28,41,1,70,40.0,118
2,3,6,stay,118,156,0,274,43.07,119
2,3,8,hit,25,50,1,76,32.89,120
2,3,9,hit,23,49,5,77,29.87,121
2,3,9,stay,45,154,0,199,22.61,122
2,4,10,hit,74,216,6,296,25.0,123
2,4,2,hit,19,38,1,58,32.76,124
2,4,3,double,53,95,5,153,34.64,125
2,4,3,stay,67,153,0,220,30.45,126
2,4,4,stay,95,153,0,248,38.31,127
2,4,5,stay,102,139,0,241,42.32,128
2,4,6,stay,101,158,0,259,39.0,129
2,4,7,stay,64,177,0,241,26.56,130
2,4,8,stay,52,177,0,229,22.71,131
2,4,9,stay,55,175,0,230,23.91,132
2,5,10,hit,72,216,13,301,23.92,133
2,5,2,double,41,90,6,137,29.93,134
2,5,3,double,46,82,6,134,34.33,135
2,5,3,stay,85,155,0,240,35.42,136
2,5,5,double,53,80,2,135,39.26,137
2,5,5,stay,73,113,0,186,39.25,138
2,5,6,stay,82,138,0,220,37.27,139
2,5,8,hit,22,49,1,72,30.56,140
2,5,9,hit,16,43,1,60,26.67,141
2,5,9,stay,45,194,0,239,18.83,142
2,6,10,double,148,438,25,611,24.22,143
2,6,2,double,51,75,9,135,37.78,144
2,6,3,double,58,98,9,165,35.15,145
2,6,4,double,64,78,9,151,42.38,146
2,6,4,stay,82,134,0,216,37.96,147
2,6,6,hit,33,40,4,77,42.86,148
2,6,6,stay,74,142,0,216,34.26,149
2,6,8,hit,23,45,12,80,28.75,150
2,6,9,double,43,111,9,163,26.38,151
2,6,9,stay,47,194,0,241,19.5,152
2,7,10,hit,88,218,18,324,27.16,153
2,7,2,double,56,95,5,156,35.9,154
2,7,3,double,53,114,15,182,29.12,155
2,7,4,hit,27,41,2,70,38.57,156
2,7,4,stay,99,140,0,239,41.42,157
2,7,5,stay,115,132,0,247,46.56,158
2,7,6,stay,86,113,0,199,43.22,159
2,7,8,hit,26,40,3,69,37.68,160
2,7,9,hit,24,46,5,75,32.0,161
2,7,9,stay,45,191,0,236,19.07,162
2,8,10,double,198,433,50,681,29.07,163
2,8,2,double,50,95,6,151,33.11,164
2,8,3,hit,37,41,2,80,46.25,165
2,8,4,double,66,93,4,163,40.49,166
2,8,5,hit,28,41,2,71,39.44,167
2,8,6,double,60,75,7,142,42.25,168
2,8,7,double,67,75,10,152,44.08,169
2,8,8,double,57,84,4,145,39.31,170
2,8,9,double,57,79,7,143,39.86,171
2,8,A,hit,16,45,4,65,24.62,172
2,9,10,double,279,309,55,643,43.39,173
2,9,2,hit,30,17,4,51,58.82,174
2,9,3,double,80,62,11,153,52.29,175
2,9,4,double,82,75,10,167,49.1,176
2,9,5,double,109,60,12,181,60.22,177
2,9,6,hit,32,24,4,60,53.33,178
2,9,7,hit,42,39,9,90,46.67,179
2,9,8,hit,44,33,3,80,55.0,180
2,9,9,double,80,57,12,149,53.69,181
2,9,A,hit,28,45,8,81,34.57,182
2,A,10,double,210,372,43,625,33.6,183
2,A,2,hit,38,41,2,81,46.91,184
2,A,3,hit,39,39,2,80,48.75,185
2,A,4,double,84,77,9,170,49.41,186
2,A,5,double,80,76,8,164,48.78,187
2,A,6,double,98,60,9,167,58.68,188
2,A,7,double,82,84,9,175,46.86,189
2,A,8,double,60,81,8,149,40.27,190
2,A,9,hit,26,38,1,65,40.0,191
2,A,9,stay,46,177,0,223,20.63,192
3,10,10,hit,253,928,51,1232,20.54,193
3,10,2,hit,84,218,12,314,26.75,194
3,10,2,stay,292,618,0,910,32.09,195
3,10,3,stay,312,532,0,844,36.97,196
3,10,4,stay,312,592,0,904,34.51,197
3,10,5,stay,368,564,0,932,39.48,198
3,10,6,stay,370,516,0,886,41.76,199
3,10,8,hit,77,254,11,342,22.51,200
3,10,8,stay,224,683,0,907,24.7,201
3,10,9,stay,209,719,0,928,22.52,202
3,2,10,double,149,469,19,637,23.39,203
3,2,2,double,41,101,3,145,28.28,204
3,2,2,stay,76,153,0,229,33.19,205
3,2,4,hit,32,41,5,78,41.03,206
3,2,4,stay,80,144,0,224,35.71,207
